;450;449;448;447;446;445;444;443;442;441;440;439;438;437;436;435;434;433;432;431;430;429;428;427;426;425;424;423;422;421;420;419;418;417;416;415;414;413;412;411;410;409;408;407;406;405;404;403;402;401;400;399;398;397;396;395;394;393;392;391;390;389;388;387;386;385;384;383;382;381;380;379;378;377;376;375;374;373;372;371;370;369;368;367;366;365;364;363;362;361;360;359;358;357;356;355;354;353;352;351;350;349;348;347;346;345;344;343;342;341;340;339;338;337;336;335;334;333;332;331;330;329;328;327;326;325;324;323;322;321;320;319;318;317;316;315;314;313;312;311;310;309;308;307;306;305;304;303;302;301;300;299;298;297;296;295;294;293;292;291;290;289;288;287;286;285;284;283;282;281;280;279;278;277;276;275;274;273;272;271;270;269;268;267;266;265;264;263;262;261;260;259;258;257;256;255;254;253;252;251;250
1_1;0,1324714422;0,1276994497;0,131600529;0,1362415701;0,139211446;0,1431813091;0,1483453959;0,1525912583;0,157774806;0,1615456045;0,1672275066;0,172688514;0,1768484116;0,1839023232;0,1893422753;0,1955037862;0,2016778886;0,2075441778;0,2141162455;0,2201111168;0,2267976552;0,2341493517;0,2410306633;0,2475180775;0,2537511885;0,260738343;0,268351227;0,2763203681;0,2842764258;0,2930172682;0,2997255325;0,3081878722;0,3175782561;0,3264159262;0,334291786;0,3418788314;0,3490798771;0,3562732637;0,3632976115;0,3695480824;0,377309382;0,3855408728;0,3926312923;0,4006105363;0,4068104029;0,4143913984;0,4199784398;0,4260058105;0,4306848943;0,4351580739;0,4399159253;0,4418615103;0,4450770617;0,450791657;0,4549835026;0,4597029984;0,4615786374;0,4633484185;0,4633032084;0,4664292336;0,4644461572;0,4650978148;0,4624510407;0,4619475007;0,460667491;0,4590655267;0,4563702345;0,4531250298;0,451464802;0,4462814331;0,4429602623;0,4365082383;0,4314880669;0,4285718501;0,4228656888;0,4156148434;0,413390547;0,4077454805;0,4002875984;0,3921494484;0,3892980218;0,3817279339;0,3534283042;0,3494226038;0,3425571024;0,3349690735;0,3260691464;0,3168783486;0,3098251224;0,3029069304;0,2963158488;0,2875285447;0,2827152312;0,272516489;0,2710391581;0,2592638433;0,2554141879;0,2484343946;0,2394199967;0,232427299;0,2279552072;0,2259589285;0,2042144686;0,1998161823;0,1957886666;0,1925164908;0,1879334003;0,1820629686;0,1805441082;0,175072208;0,1738856286;0,1698135883;0,1702999473;0,1684106588;0,166038841;0,1611160189;0,1638437361;0,1611777395;0,1641166657;0,167249918;0,1676061004;0,1699851155;0,1663218439;0,1727535576;0,1766660959;0,1798555106;0,1838552058;0,1895203292;0,1966770738;0,2014400214;0,2104956955;0,2212615162;0,2289622426;0,2377927005;0,2479256243;0,259583503;0,2720164657;0,284211576;0,2978615463;0,3095138669;0,3219983578;0,3374201953;0,3500241637;0,3619755208;0,3729305565;0,3826524615;0,391357094;0,4017595947;0,4075594544;0,4146435857;0,4179546535;0,4226363599;0,4232284725;0,4252798855;0,4256520867;0,4236278534;0,4210058451;0,4206286669;0,4165640175;0,4133632779;0,4102292657;0,4049434662;0,4019489288;0,3975857496;0,3924452364;0,3893865943;0,3853570223;0,3809900284;0,3749821186;0,3712439835;0,3669582009;0,3637211323;0,3575149477;0,3520429134;0,347274065;0,3416744769;0,3371878862;0,3318572044;0,326836884;0,3211227357;0,3157973588;0,3093111813;0,3021501601;0,2941791415;0,2856264114;0,2768332064;0,2675113082;0,2580884099;0,2482955456;0,2402064949;0,2296279967;0,2205505967;0,2117483169;0,2042129338;0,1949925125;0,1889950931;0,1820488274;0,1759658456;0,170353353;0,1658219397;0,1624691486
1_2;0,1374672949;0,1324482262;0,137114495;0,1412340105;0,1440371424;0,1486172825;0,1532597691;0,157129392;0,1629525125;0,167847082;0,1725149602;0,1771684587;0,1819118261;0,18819049;0,1927965283;0,1995174885;0,2042748779;0,2116131932;0,2186460942;0,2244018912;0,2314084172;0,2379993349;0,2450474948;0,2508099675;0,2587387562;0,2657867074;0,273159802;0,2818875015;0,2896780074;0,2972264588;0,3037996888;0,3127770126;0,3201092184;0,3280566633;0,3362335563;0,3430787921;0,3517003655;0,3587355018;0,3655804694;0,3732383549;0,3810295165;0,388097167;0,3948518336;0,4031317532;0,4087335467;0,4157329202;0,4221478701;0,4272944629;0,4316560626;0,4361706376;0,4408087432;0,4441500604;0,4478132725;0,4528290033;0,4562958181;0,4609623253;0,4612121582;0,4623945355;0,462879926;0,4654559195;0,4635765254;0,4629890621;0,4618201852;0,4629212618;0,4620508552;0,4606166184;0,4572432041;0,453417033;0,4499303699;0,4466007352;0,4431587458;0,4372131824;0,431881249;0,4296831787;0,4244402051;0,4160688519;0,4122981727;0,4079261124;0,4025380015;0,3942730725;0,3879320025;0,3821571767;0,3537237644;0,3482569158;0,3411185443;0,3329203427;0,3268684447;0,3192806244;0,3121370673;0,3021948934;0,2974318266;0,2877618968;0,2836244702;0,2754865587;0,269092083;0,2599416375;0,2582637966;0,2508118451;0,2414315194;0,2374197692;0,2295755595;0,2232976556;0,2064316273;0,2005782276;0,1965489686;0,1938807964;0,1891011149;0,1838399768;0,1839975715;0,1777434051;0,1764990687;0,1741403192;0,1722036302;0,1676336676;0,1714467555;0,1653416306;0,1675627381;0,1640787423;0,1680289358;0,1731155962;0,1711125076;0,1695473343;0,172728315;0,1774472892;0,1806715876;0,1844673008;0,1892111152;0,1926985979;0,1978704482;0,2069000304;0,2102444619;0,2221485078;0,2303236425;0,2401954681;0,2516979575;0,260979563;0,2731807828;0,2876668274;0,2987377942;0,310559541;0,3272399604;0,3373775184;0,3514157832;0,3622520268;0,3735885024;0,3834014535;0,3923915625;0,4012452364;0,4080445766;0,4145261347;0,4182811975;0,4200285971;0,421364069;0,4241233766;0,4235974848;0,4228226542;0,4198180735;0,4187048376;0,4163908958;0,4135335684;0,409204185;0,4045849741;0,4019157887;0,3979287148;0,3919847012;0,3882811666;0,3829217255;0,3791345656;0,3744545579;0,3713662028;0,3662745655;0,3616430163;0,3564990461;0,3506246209;0,3459938467;0,3415326178;0,3357013464;0,3298318982;0,3253094852;0,3189911842;0,3140598834;0,307551682;0,3008589745;0,2930596769;0,2840903699;0,275382936;0,2660422325;0,2572494745;0,2476029843;0,2391970903;0,2300828844;0,220319584;0,211763069;0,2035982758;0,1957144439;0,1890051812;0,1818736196;0,1755152941;0,1709762961;0,1660412997;0,1625095755
1_3;0,1351542622;0,1297782511;0,1347267032;0,1389551312;0,1423017085;0,1461364031;0,1500085294;0,1546387821;0,1602466255;0,1651544273;0,1703857034;0,1747144163;0,1784544587;0,1857283413;0,1894206256;0,1969352663;0,202899918;0,2093563229;0,2148311436;0,2219288945;0,2284365892;0,2351824343;0,2438719571;0,2491021901;0,2568683326;0,264400214;0,2720196843;0,2795042694;0,2870039642;0,2948693037;0,3024624288;0,3087666333;0,3167480826;0,3239773214;0,3312569857;0,3377016783;0,345964849;0,3526972532;0,3626052141;0,3692270517;0,3776053786;0,3844377697;0,3914432824;0,3977862597;0,4039084911;0,4114817977;0,4170447588;0,4230592847;0,4274561405;0,4319010675;0,4348340631;0,436105907;0,4415058196;0,4456143975;0,4490047991;0,4527672529;0,4538624287;0,4537305236;0,4578419328;0,4598354399;0,4592119455;0,4605115354;0,4596350789;0,4577789605;0,4564694166;0,4538302124;0,4502903223;0,4469139278;0,4437390864;0,4394545257;0,4328768253;0,4293347597;0,4264717996;0,4218488932;0,4181641042;0,4111555219;0,4063056111;0,4014864564;0,3946852684;0,3875257075;0,3828319907;0,3742770553;0,3479505777;0,3445508778;0,3383407593;0,3322959244;0,3241462409;0,312972784;0,306065172;0,2977941036;0,2947126329;0,2856133282;0,2804629207;0,272218734;0,2693006992;0,2643612921;0,2539794445;0,2477917373;0,2401040196;0,2367119193;0,2275401354;0,2257995903;0,2087375671;0,2029268146;0,2018312365;0,1950166374;0,1937716603;0,1871848404;0,1863105744;0,1826966852;0,1797173917;0,1764228195;0,1761288792;0,174501285;0,1726383269;0,170353055;0,1685040295;0,1696811467;0,1703826338;0,1731120497;0,1760883778;0,177188769;0,1760798246;0,1803156585;0,1829076856;0,1896724999;0,1934288889;0,1941076666;0,202595219;0,212106362;0,2152587175;0,2267348617;0,2336056381;0,2426863164;0,2547816634;0,2631519139;0,2755952179;0,2897299528;0,3028345108;0,3147186339;0,3255281746;0,3416783214;0,3519573808;0,3622868359;0,3733160794;0,3860304356;0,3935727179;0,4021317363;0,4085151553;0,414560318;0,4179451466;0,4211063683;0,4221050739;0,4234699011;0,4216833413;0,422431767;0,4198791385;0,4180849791;0,4153522253;0,4123216867;0,4093788266;0,4038060606;0,4000352621;0,3961547017;0,391900152;0,3875605464;0,383852154;0,3784208596;0,374532491;0,370196104;0,366099596;0,3609668911;0,355043292;0,3506371379;0,3454079032;0,339951545;0,3357741535;0,3298720121;0,3250624835;0,3189195991;0,312985152;0,3066543937;0,2999418676;0,2926695347;0,2836876512;0,2747530043;0,2655367255;0,2560688555;0,2469398826;0,2388859987;0,2297761738;0,2205272019;0,2114913911;0,2046275139;0,1958093494;0,189151004;0,1823397279;0,1764880717;0,1717775613;0,1675353199;0,1629747748
1_4;0,1407036632;0,1357523501;0,14015387;0,1436449885;0,1474629194;0,1501726657;0,1553957462;0,1598788798;0,1642860025;0,1684720069;0,1728839725;0,1785937101;0,1826904863;0,1892554611;0,1945746988;0,2009934634;0,2070526928;0,2127294838;0,2190861851;0,2264029533;0,2321214527;0,2387373298;0,246998027;0,2520225644;0,2598459125;0,2662053108;0,2741696239;0,2805872262;0,2885822654;0,296091795;0,3036812544;0,3126404285;0,3210004568;0,3286563754;0,335967958;0,3421188295;0,3502504826;0,3562648296;0,3638319969;0,370942384;0,3786875606;0,3861860931;0,393174082;0,399363786;0,4060031176;0,4136144817;0,4191516936;0,4258522391;0,4294510186;0,4328158796;0,4373640418;0,4406566024;0,4448806047;0,4474809468;0,4516412616;0,4547197223;0,4555808008;0,4562053084;0,4572185278;0,460634619;0,4595193863;0,4591543674;0,4578800201;0,4573746622;0,456094116;0,4551551938;0,4501079321;0,4483726919;0,4436363578;0,4414169192;0,4358000755;0,4312927127;0,4274941385;0,4238584638;0,4198454022;0,413672477;0,407433182;0,4021475613;0,3951544166;0,3889974058;0,3848678172;0,375629425;0,351390332;0,3453306854;0,3397842646;0,3316120803;0,322868973;0,3162559569;0,309951961;0,3027389646;0,2954052091;0,2885142267;0,2848398387;0,2762487829;0,2689965665;0,2629074454;0,2558367848;0,2519585788;0,2445863485;0,2342750132;0,23312895;0,2289039195;0,2105056942;0,2057613879;0,1997498423;0,1963377297;0,1937601417;0,1903475672;0,1885905713;0,1821421385;0,1805616021;0,1787802726;0,1791725457;0,1749399006;0,175252378;0,170688659;0,1699618399;0,1695265621;0,1733019799;0,1780714542;0,177798599;0,1776998788;0,1790328175;0,1823809743;0,1866561323;0,1896366924;0,1960430443;0,1970256865;0,2042674124;0,2110619098;0,2173342109;0,2281712741;0,2347059548;0,244510293;0,2540215552;0,2657417059;0,2769446075;0,2902836204;0,3024358451;0,3155943751;0,3280426264;0,3389180899;0,3523225486;0,3628737926;0,3738220334;0,3849298358;0,3928666115;0,4015467465;0,4071193635;0,4139945507;0,4165268838;0,4195987582;0,4207847714;0,4225636125;0,4231104851;0,4202510715;0,4181281924;0,4164323509;0,4135983586;0,4107462764;0,4069778025;0,4031058252;0,3991625607;0,3943596184;0,3900271952;0,3858774006;0,3812742233;0,3764759004;0,3706958592;0,3684883118;0,3632810116;0,3583177924;0,3531915843;0,3479708433;0,3419390321;0,3376169503;0,3321749568;0,327966094;0,3221684098;0,3160892725;0,3096229732;0,30466488;0,2973068655;0,2895133793;0,2812773287;0,2725377679;0,2636236846;0,2547382712;0,2453940958;0,2375130951;0,227944836;0,2189782113;0,2099262178;0,2025164366;0,1947123557;0,1877052188;0,1813906729;0,1752782315;0,1704332232;0,1658966541;0,1621741951
1_5;0,1440321654;0,1399621814;0,1437919587;0,1489255726;0,1517567337;0,1552698463;0,1594505757;0,1644705981;0,168827489;0,1733243167;0,1786869019;0,183778882;0,1888305247;0,1952677369;0,2004464567;0,2063090652;0,2121083885;0,2178933024;0,2235386223;0,2304856032;0,2363425493;0,2438081801;0,2510717511;0,2575033903;0,2648578286;0,271320641;0,2788727582;0,285779953;0,2935702503;0,3006514013;0,3083510399;0,3166135848;0,3266688585;0,3333652318;0,3422911167;0,3473683;0,3560178876;0,3604254425;0,3682068288;0,3747858405;0,3818480074;0,3897044659;0,3960246146;0,4020071626;0,4078724384;0,4150311351;0,4209455848;0,4284849763;0,431386888;0,4366372228;0,4397279918;0,441219002;0,4448534846;0,4488424957;0,4530575871;0,4565037787;0,4574477971;0,4586651623;0,4610164762;0,4627571106;0,4622682631;0,4617564082;0,4610117674;0,4590893984;0,4574914575;0,4556032121;0,4511584342;0,4480447173;0,4445410967;0,4427297711;0,4379025996;0,435036242;0,429220736;0,4246850014;0,4200899005;0,4160095155;0,410859853;0,4052311778;0,3980359137;0,3917448819;0,3871290982;0,3783471584;0,3501842022;0,3461090028;0,3414390087;0,3317688406;0,3240088522;0,3166226745;0,3123038411;0,3022099435;0,2981122136;0,2891203463;0,2877289057;0,2759433687;0,2709847391;0,2659365833;0,26513955;0,2537354827;0,2476212084;0,23793751;0,2385316342;0,2312232703;0,2099046856;0,2051749676;0,2015705705;0,1981824636;0,1942233592;0,190691039;0,1871541739;0,1855552793;0,1801360101;0,1781322211;0,1793911308;0,1762105823;0,1773101687;0,1734401584;0,173931092;0,1719371825;0,1743265688;0,179775238;0,1787592471;0,178555131;0,1784853041;0,1850440949;0,1866756678;0,1909870207;0,1925242692;0,1982966214;0,2093829066;0,2142328173;0,2161591947;0,2282650471;0,2371524274;0,2428762913;0,2532142401;0,2649526894;0,2765799761;0,2892231643;0,3018738627;0,313475877;0,3261767626;0,3379222453;0,3513958454;0,361068666;0,3733798265;0,3835792243;0,3913829923;0,3999975026;0,4055370092;0,411706388;0,4144829512;0,4183563292;0,4185908735;0,4185774922;0,4192683101;0,4182835221;0,4159146547;0,4138087332;0,4103871882;0,4076286852;0,4042080641;0,3990855217;0,396790266;0,3916405141;0,3876625597;0,3827399015;0,3781333864;0,3745050728;0,3689748645;0,3650546372;0,3604798913;0,3549788594;0,3504158258;0,3452498317;0,3392460644;0,3348247111;0,3287066519;0,3244449198;0,3196421564;0,313742429;0,3081874251;0,3021020889;0,295126915;0,287137419;0,2780855596;0,2697117329;0,2611200809;0,2513921261;0,2425563931;0,2350746393;0,2260982245;0,2170166969;0,2083696872;0,2005484104;0,1924751252;0,1858545691;0,1800325066;0,1742916852;0,1694404334;0,1649479717;0,160706982
1_6;0,1479506046;0,1431087404;0,1470298171;0,1510721445;0,1537587643;0,1577700824;0,1623620391;0,1665646732;0,171294421;0,1756294221;0,1810106337;0,1859639436;0,1908454746;0,1968827248;0,2027476281;0,2090090811;0,2142324001;0,2197852731;0,2266982645;0,2331562638;0,2393803298;0,2458167076;0,2530843616;0,2592573762;0,2652575374;0,2728414536;0,2793777287;0,2870262265;0,2947678268;0,302754581;0,3088708818;0,3169598281;0,3262081146;0,3328513205;0,3415132761;0,3468692601;0,3539353311;0,3592731953;0,3681807518;0,3747521937;0,3824726641;0,3901171088;0,3958554566;0,4026064575;0,4082567394;0,4157685637;0,4212558568;0,4273762107;0,4316115677;0,4357109368;0,4390963316;0,4404487908;0,4442358017;0,4499882758;0,4521806836;0,4575534165;0,4569210708;0,4585359991;0,4591290057;0,4601552486;0,4594272375;0,4605552852;0,4598543346;0,4571266472;0,4560729563;0,4547708333;0,4505158663;0,4485929012;0,4441108704;0,4421326518;0,4375624061;0,432479769;0,4276866019;0,4241871536;0,4203757346;0,4146333337;0,4092164636;0,4034101069;0,3972295225;0,3895762265;0,3857706189;0,3777751029;0,3497297168;0,3466401696;0,3395600915;0,3339613676;0,3249243498;0,3182674348;0,3121442795;0,3030736148;0,2990345359;0,2910933197;0,2863699198;0,2776216865;0,274795115;0,266926378;0,2607940733;0,2527247965;0,2483630329;0,2385374606;0,2363952696;0,2363073975;0,2090043426;0,2026402205;0,1997532398;0,1987697035;0,1935312152;0,1932232827;0,1887791157;0,1837502569;0,1807886064;0,1794856638;0,1791415066;0,1760696918;0,1781574339;0,1743551046;0,1759872735;0,1760004014;0,175629735;0,1790799201;0,180034861;0,1791442037;0,1803753823;0,1850312501;0,1879748553;0,1928408295;0,200227946;0,2000522912;0,2063187659;0,214517504;0,2194624841;0,2294149846;0,2388436794;0,2449984252;0,2553995252;0,264942348;0,2775155008;0,2891799212;0,3015467227;0,3126383126;0,3275641799;0,3389349282;0,3514688611;0,3600912094;0,371350795;0,3817317188;0,3899553716;0,3988230526;0,4033983946;0,4089879096;0,4117434323;0,4144302607;0,4160372913;0,4169961512;0,4165008962;0,4154751003;0,4110739231;0,4093851745;0,4076736569;0,4037807584;0,4002726972;0,3963394761;0,3931960762;0,3887475133;0,3841233552;0,3790994883;0,3753746748;0,3698847592;0,3644707501;0,3612273633;0,3565196693;0,3520759046;0,3460174203;0,3411719203;0,3353507817;0,3301531076;0,3249723017;0,320541203;0,3154717982;0,3101993501;0,303789556;0,2977039814;0,2910861075;0,2830538452;0,2740709782;0,2661077082;0,2571777701;0,2490620315;0,2390910983;0,2318397909;0,2225926816;0,2137673348;0,205412522;0,1968161315;0,1894325912;0,1836182028;0,1765611023;0,1706709117;0,165751949;0,1615819186;0,1582828909
1_7;0,1499519646;0,1458322257;0,1500023454;0,1538710445;0,1571219862;0,161064893;0,1661049277;0,1698105931;0,1745188385;0,1789921969;0,1839003116;0,1904620081;0,193875283;0,2016094029;0,204922989;0,2110645175;0,2160330415;0,2216403186;0,2283814996;0,2343465835;0,2403865457;0,2480231225;0,2557168007;0,261924535;0,2688350379;0,2751883566;0,2814887166;0,2894620299;0,2969429493;0,3045473993;0,3119201064;0,3204643726;0,3288565278;0,3366197646;0,3428120911;0,3474267721;0,3549743891;0,361305356;0,3694782853;0,3758254349;0,3834874332;0,3908129036;0,397549659;0,404617697;0,4110327363;0,418240577;0,4233151972;0,4286337495;0,4311391413;0,4362882078;0,439258188;0,4406034052;0,4448340237;0,4493365586;0,4534243345;0,4557313621;0,4566479027;0,4572826028;0,4588203132;0,4609856904;0,4608065486;0,4612058699;0,4599927664;0,4591298401;0,4570219517;0,4545205235;0,4503736794;0,4477197826;0,4437373877;0,4399329722;0,4348618686;0,4310586452;0,4276404381;0,4227372706;0,4189290404;0,4128225148;0,408870101;0,405990392;0,399702549;0,3928317726;0,3863292336;0,3786657751;0,3522314429;0,3469915986;0,3407866955;0,3317404091;0,3266457319;0,3166464269;0,3098107576;0,3027724028;0,3005307317;0,2911284864;0,2853152752;0,2763161361;0,2735249698;0,2697235644;0,2622031569;0,2600561082;0,2522181869;0,2444893867;0,23823753;0,2376150936;0,2051515132;0,2060226053;0,1984470785;0,194924593;0,1950045973;0,1896176189;0,1854840964;0,1859979033;0,1824174821;0,1786515415;0,1795269847;0,1748007387;0,1773601323;0,1700805724;0,1709166765;0,173101902;0,1739682704;0,1782538742;0,1811933219;0,1816079766;0,1774564087;0,1848805398;0,1865522265;0,191473797;0,197656244;0,1985420138;0,2061414719;0,2134616077;0,2178119123;0,2307223082;0,2351769954;0,2434749454;0,2533787787;0,2641269863;0,2770346403;0,2874592841;0,29943344;0,3098931015;0,3217213154;0,3350479603;0,34757182;0,3570068777;0,3684893548;0,377635479;0,3864202797;0,3949118853;0,400904566;0,4049792886;0,407935828;0,4111378193;0,4125457108;0,4130942822;0,4115149677;0,4103558958;0,4081792235;0,4054977894;0,4033083618;0,4000734389;0,3963902295;0,3900442719;0,3884161711;0,3830104768;0,3785661459;0,3750879765;0,3689301908;0,3653801084;0,3602721691;0,3558497131;0,3512053788;0,3465171456;0,3415559232;0,3359487355;0,3314377069;0,3256612122;0,3201153278;0,3152310848;0,3106668591;0,3042832315;0,2986962795;0,2926446497;0,2859177291;0,2778625488;0,2699938416;0,2614961565;0,2528051436;0,2434057146;0,2341009229;0,227513954;0,2182631344;0,209017247;0,2007640004;0,1934339404;0,1856372803;0,1789803058;0,1731088907;0,1673050821;0,1620554626;0,1580574065;0,1546467692
1_8;0,161011517;0,1560075879;0,159607321;0,1644413024;0,1664405912;0,1684799045;0,1744062304;0,1776733696;0,1825054735;0,1860408485;0,1923383325;0,1964274794;0,2024033517;0,2082614601;0,21369569;0,2205647081;0,2273370475;0,2323242575;0,2390269935;0,2452433705;0,2511731088;0,2568516135;0,2642044425;0,2695990205;0,2774988115;0,2843278348;0,2921341658;0,2997537255;0,3069918156;0,3142537177;0,3223205209;0,3290815353;0,3380786479;0,3451615274;0,3527118862;0,3566376865;0,3653165698;0,3707330823;0,3787620068;0,3844921291;0,392903775;0,4001150727;0,405793488;0,4108886421;0,4170982242;0,4244776666;0,4296016395;0,4356393218;0,4391189516;0,4443386197;0,4472874403;0,450091809;0,4524794519;0,4578936994;0,4607328475;0,4631566405;0,4649161994;0,4650667906;0,4661432803;0,4692244828;0,468347311;0,4676717818;0,4653667212;0,463598609;0,4629985988;0,4609364867;0,4571470618;0,4537855089;0,4508128166;0,4471153915;0,4432799816;0,4405453205;0,4338966906;0,4304386377;0,4241425693;0,4194994271;0,4157674015;0,4094878733;0,4037123621;0,3959795237;0,3910291195;0,3844152987;0,3545201719;0,3535829186;0,3430115283;0,337918818;0,332428664;0,3226933181;0,31834957;0,312012136;0,3053734899;0,29676947;0,2924359739;0,287516892;0,2808296382;0,2716792822;0,267878592;0,2614190876;0,2559164762;0,2533573806;0,2520000637;0,2460731417;0,2115950733;0,2040697038;0,2033685744;0,1992680281;0,198649779;0,1946116984;0,1894966215;0,1873486638;0,1856862605;0,1852326095;0,182214275;0,180228591;0,1806389689;0,1791766137;0,1786936969;0,1758021861;0,178946808;0,1843398213;0,1812561899;0,1844509989;0,1847932488;0,1883600056;0,1913040578;0,1973275989;0,2026804239;0,2048920244;0,2098051906;0,2166144252;0,2245085388;0,2314326763;0,2407666743;0,2501156032;0,2590425313;0,2682701647;0,2776535749;0,2911385298;0,3038630188;0,3133193254;0,3257512152;0,3399212658;0,3511458933;0,3608920574;0,3705283999;0,3801707327;0,3885446787;0,3965415955;0,4031575322;0,4085327387;0,4095344543;0,4131703973;0,4137606323;0,4143941998;0,4145990014;0,4124503434;0,4091450274;0,4081293643;0,4037932158;0,4011532366;0,3978713453;0,3935212791;0,3883864284;0,3853471577;0,3797079921;0,3755249679;0,3714363575;0,3656278849;0,3609178066;0,3574216366;0,3522669673;0,3478462994;0,3423241079;0,3370659947;0,3315292895;0,326811105;0,3214703202;0,3167967796;0,31242311;0,3063983321;0,3003207445;0,294297576;0,2870931029;0,2801635861;0,2711457014;0,2638985813;0,2553608418;0,2463185042;0,236177966;0,2291900814;0,2204647064;0,2114451379;0,2030730844;0,1956060678;0,1878917068;0,1810588986;0,1758062989;0,1706565619;0,1656309068;0,1612943262;0,1581704319
1_9;0,1523146629;0,1477473229;0,1516781747;0,1560753733;0,1588206887;0,1613850296;0,1666286737;0,1715881079;0,1763167083;0,1796706021;0,1846066266;0,1902444959;0,1935551018;0,2008853853;0,2055320889;0,2113832235;0,2178745717;0,2239360064;0,2300585657;0,2356814742;0,2421241105;0,2491256148;0,2562711835;0,2616854608;0,2676851451;0,273745805;0,2810049653;0,288713336;0,2965400815;0,3031674027;0,3101644218;0,3187282979;0,325386107;0,3329901993;0,3405966461;0,3447707891;0,3538354337;0,359967649;0,3677401841;0,3752748072;0,3816869557;0,3873140812;0,3939886391;0,4013607204;0,4065190554;0,4138294756;0,4191221297;0,4241715074;0,4271981418;0,4323777258;0,4348208904;0,4365954101;0,4409968555;0,4450577497;0,448061049;0,4513295293;0,4519823492;0,4537948966;0,4538818002;0,4560161233;0,4551887214;0,4569435418;0,455013752;0,4535488188;0,4515576065;0,4484031498;0,4429399669;0,4405730367;0,4380210042;0,433468461;0,4308857322;0,4257879555;0,4217990339;0,4169760942;0,4141017199;0,4080216587;0,4023875296;0,3979732692;0,3923316896;0,3836133778;0,3797725439;0,3734420538;0,344307512;0,3425841033;0,3343471587;0,3282812834;0,3223557472;0,3133938909;0,3078973889;0,2990163565;0,2959634364;0,2885277569;0,2840461433;0,2757633328;0,2727434933;0,2639392316;0,2611598074;0,2536491752;0,2453319281;0,2399845719;0,23871997;0,2398855835;0,2117964178;0,2091379762;0,2076456696;0,204855606;0,1996203661;0,1978275031;0,1965122968;0,190820083;0,1889540553;0,1863846034;0,1862365156;0,1862720996;0,1852165908;0,18173033;0,1800391376;0,1841972619;0,1844037771;0,1903283745;0,1893777847;0,1897457093;0,1885146797;0,1927032322;0,1967991143;0,1996466517;0,2069684416;0,2069161236;0,2133702934;0,222536847;0,2279893756;0,2397614717;0,2434322387;0,2509380877;0,2621456683;0,2718016803;0,2811773121;0,2941543758;0,3052374423;0,3145980835;0,3308500051;0,3392478824;0,3546194732;0,3613361716;0,3722097278;0,3834013343;0,3899568319;0,3975855112;0,4028401375;0,4088188112;0,4113839567;0,414565742;0,4148513675;0,4165608585;0,4142530262;0,4141405523;0,4101279378;0,4091402292;0,406489104;0,4024059176;0,398924619;0,394651413;0,3907776177;0,3858058453;0,3802795112;0,3770298958;0,3733479679;0,3671077788;0,3618980646;0,3581762314;0,3526409566;0,348498106;0,344127208;0,3380760849;0,3323470354;0,3277565539;0,3225613534;0,3167719245;0,3113717139;0,3060035706;0,3002780974;0,2949472368;0,2878974676;0,2806940079;0,2719557881;0,2638096213;0,2548039556;0,2470632643;0,2373546064;0,230590716;0,220956713;0,2118789256;0,2041416019;0,1964354217;0,1894410849;0,1827401668;0,1766136885;0,1714287698;0,1665941477;0,1629042625;0,1592057198
